"id","host_id","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_total_listings_count","host_verifications","host_identity_verified","neighbourhood","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","amenities","guests_included","minimum_nights","cancellation_policy","price"
"20094910","139715071","2017-07-10","within an hour","100%","","f","1.0","{email, phone, reviews, jumio, offline_government_id, government_id}","t","Kingsbridge","Apartment","Private room","4","1.0","1.0","2.0","Real Bed","{TV,Cable TV,Wireless Internet,Kitchen,Breakfast,Buzzer/wireless intercom,Heating,Essentials,Shampoo,Bathtub,Other}","4","1","strict","$75.00"
"12554945","20586090","2014-08-26","","","","t","1.0","{email, phone, reviews, jumio, work_email}","t","Harlem","Apartment","Private room","2","1.0","1.0","1.0","Futon","{Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Smoke detector,Carbon monoxide detector,Essentials,Lock on bedroom door,Laptop friendly workspace}","1","5","strict","$53.00"
"4621213","23899821","2014-11-18","within an hour","100%","","f","2.0","{email, phone, reviews, jumio}","t","Upper West Side","Apartment","Entire home/apt","4","1.0","2.0","3.0","Real Bed","{TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator,Hot tub,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Essentials,24-hour check-in,Hangers,Hair dryer,Iron}","1","3","moderate","$235.00"
"7837816","19483885","2014-08-05","within a few hours","100%","","f","1.0","{email, phone, reviews, jumio, offline_government_id, government_id}","t","Bedford-Stuyvesant","Apartment","Private room","1","1.0","1.0","1.0","Real Bed","{TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Self Check-In,Lockbox}","1","1","strict","$60.00"
"19206694","12711168","2014-03-02","within an hour","100%","","f","6.0","{email, phone, reviews, jumio}","t","East Village","Apartment","Shared room","2","1.0","1.0","1.0","Real Bed","{Wireless Internet,Kitchen,Heating,Smoke detector,Essentials,Shampoo,Hangers,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50}","1","1","strict","$49.00"
"5863458","30444265","2015-04-01","within an hour","100%","","f","1.0","{email, phone, reviews, jumio, selfie, government_id, identity_manual}","t","Williamsburg","Apartment","Entire home/apt","7","1.0","2.0","3.0","Real Bed","{TV,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,Fire extinguisher,Essentials}","5","2","strict","$400.00"
"12774885","69507287","2016-04-29","within an hour","100%","","t","1.0","{email, phone, facebook, reviews}","f","Wakefield","House","Private room","1","1.0","1.0","1.0","Real Bed","{Wireless Internet,Air conditioning,Kitchen,Pets live on this property,Dog(s),Heating,Smoke detector,Carbon monoxide detector,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50}","1","1","moderate","$40.00"
"18812147","10854886","2013-12-27","within an hour","100%","","f","3.0","{email, phone, reviews}","f","West Village","House","Entire home/apt","10","4.0","4.0","4.0","Real Bed","{TV,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Indoor fireplace,Heating,Family/kid friendly,Suitable for events,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self Check-In,Smart lock,Keypad,Lockbox,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Patio or balcony,Garden or backyard,Luggage dropoff allowed,Long term stays allowed}","1","1","strict","$800.00"
"13039122","50600973","2015-12-05","within an hour","100%","","f","7.0","{email, phone, google, reviews, jumio}","t","Bushwick","Apartment","Private room","2","2.0","1.0","1.0","Real Bed","{TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Smoking allowed,Pets allowed,Pets live on this property,Dog(s),Buzzer/wireless intercom,Heating,Washer,Dryer,Smoke detector,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50}","1","1","moderate","$55.00"
"14854430","39942789","2015-07-29","within a day","70%","","f","2.0","{email, phone, reviews, jumio, government_id}","t","East Village","Apartment","Entire home/apt","4","1.0","1.0","1.0","Real Bed","{TV,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hair dryer,translation missing: en.hosting_amenity_50}","2","2","strict","$150.00"
