host_is_superhost,host_total_listings_count,neighbourhood,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,guests_included,minimum_nights,cancellation_policy,price,smoking allowed,air conditioning,suitable for events,24-hour check-in,internet,essentials,heating,family/kid friendly,tv,elevator in building,hot tub,doorman,free parking on premises,indoor fireplace,hair dryer,wireless internet,gym,fire extinguisher,breakfast,washer / dryer,iron,other pet(s),dryer,kitchen,buzzer/wireless intercom,washer,wheelchair accessible,first aid kit,safety card,lock on bedroom door,pool,laptop friendly workspace,cable tv,hangers,smoke detector,pets live on this property,shampoo,cat(s),carbon monoxide detector,pets allowed,dog(s)
1,2,43,13,2,8,2.5,3,5,1,6,4,0,450.0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0
1,1,43,13,2,5,1.0,2,3,1,1,1,1,150.0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0
0,5,43,15,1,2,1.0,1,1,1,1,2,0,45.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,5,43,3,2,6,2.0,3,3,1,1,2,2,300.0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0
1,1,43,3,2,3,1.0,1,2,1,3,2,0,80.0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
0,6,43,3,2,4,1.0,1,1,1,1,2,0,175.0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1,9,43,13,2,6,1.5,3,3,1,6,2,0,325.0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1,1,43,13,2,4,3.0,3,2,1,1,4,1,175.0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0
1,1,43,13,2,7,3.5,4,3,1,7,2,0,222.0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0
1,1,43,3,2,4,1.0,2,2,1,1,1,0,159.0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1
1,2,43,3,2,4,1.0,1,2,1,2,2,2,125.0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
1,1,43,13,2,8,3.0,3,3,1,6,3,0,348.0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
1,1,43,13,1,1,1.0,1,1,4,1,1,1,45.0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2,43,3,2,4,1.0,1,2,1,2,2,2,150.0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
