,id,picture_url,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_picture_url,host_total_listings_count,host_verifications,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,guests_included,minimum_nights,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy,reviews_per_month,picture
10,4454295,https://a0.muscache.com/ac/pictures/59566840/b8d1403f_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,4606439,2013-01-06,within a few hours,100%,100%,f,"https://a1.muscache.com/ac/users/4606439/profile_pic/1417733189/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",1,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,47.63721407513561,-122.36004576141458,House,Entire home/apt,2,1.0,1,1,Real Bed,"{TV,Cable TV,Wireless Internet,Kitchen,Free Parking on Premises,Indoor Fireplace,Heating,Smoke Detector,Carbon Monoxide Detector,Fire Extinguisher,Essentials,Shampoo}",$99.00,1,3,8,2015-05-06,2015-12-16,97,10,10,9,10,10,9,strict,0.98,25bd706c-e566-11e8-9736-f21898466bab.jpg
11,3883392,https://a2.muscache.com/ac/pictures/48864586/907aa25d_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,19932967,2014-08-13,within an hour,100%,100%,t,"https://a1.muscache.com/ac/users/19932967/profile_pic/1414642653/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",1,"['email', 'phone', 'linkedin', 'reviews', 'jumio']",t,47.6355455115124,-122.37317075183506,Apartment,Entire home/apt,4,1.0,2,3,Real Bed,"{TV,Cable TV,Internet,Wireless Internet,Kitchen,Free Parking on Premises,Buzzer/Wireless Intercom,Heating,Family/Kid Friendly,Washer,Dryer,Smoke Detector,Carbon Monoxide Detector,First Aid Kit,Fire Extinguisher,Essentials,Shampoo}",$245.00,1,3,13,2014-11-09,2015-10-02,98,10,10,10,10,10,10,moderate,0.92,25c6e0ca-e566-11e8-9ebb-f21898466bab.jpg
12,8889257,https://a2.muscache.com/ac/pictures/69b4dfed-9fd1-494d-a279-e0539b0790e4.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,25899989,2015-01-10,within an hour,100%,100%,f,"https://a2.muscache.com/ac/pictures/5eee2738-137b-47d6-a80b-9a201ffbfd5e.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",1,"['email', 'phone', 'reviews', 'kba']",t,47.629506809234314,-122.3676292967417,House,Entire home/apt,5,1.0,2,3,Real Bed,"{TV,Cable TV,Internet,Wireless Internet,Kitchen,Heating,Family/Kid Friendly,Washer,Dryer,Smoke Detector,Carbon Monoxide Detector,First Aid Kit,Safety Card,Fire Extinguisher,Essentials,Shampoo}",$165.00,4,2,3,2015-12-16,2016-01-02,100,10,10,9,9,10,10,strict,3.0,25cffeba-e566-11e8-9bd8-f21898466bab.jpg
13,5680462,https://a2.muscache.com/ac/pictures/91278310/1ed06e04_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,22372266,2014-10-10,within an hour,100%,100%,f,"https://a2.muscache.com/ac/users/22372266/profile_pic/1413836801/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",1,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,47.63920265551509,-122.36586274154313,House,Entire home/apt,16,3.5,6,15,Real Bed,"{TV,Cable TV,Internet,Wireless Internet,Kitchen,Free Parking on Premises,Indoor Fireplace,Heating,Family/Kid Friendly,Suitable for Events,Washer,Dryer,Smoke Detector,Carbon Monoxide Detector,First Aid Kit,Safety Card,Fire Extinguisher,Essentials,Shampoo}",$461.00,8,3,18,2015-06-15,2015-11-15,98,9,10,10,10,10,10,strict,2.65,25da61b8-e566-11e8-9b24-f21898466bab.jpg
14,8988178,https://a2.muscache.com/ac/pictures/fa176cce-bd1d-40a3-adb5-6bb56dd996fa.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,2983711,2012-07-18,within a few hours,100%,100%,f,"https://a0.muscache.com/ac/users/2983711/profile_pic/1342660361/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",1,"['email', 'reviews', 'kba']",f,47.63564979343857,-122.37289282480928,House,Entire home/apt,5,1.0,2,2,Real Bed,"{TV,Cable TV,Internet,Kitchen,Free Parking on Premises,Heating,Family/Kid Friendly,Washer,Dryer,Smoke Detector,Carbon Monoxide Detector,Fire Extinguisher,Essentials}",$109.00,1,3,1,2015-11-25,2015-11-25,80,8,10,8,8,8,8,strict,0.73,25e2a2d8-e566-11e8-925c-f21898466bab.jpg
15,3245876,https://a0.muscache.com/ac/pictures/57011178/e3a32f74_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,9465817,2013-10-16,within an hour,100%,100%,f,"https://a2.muscache.com/ac/users/9465817/profile_pic/1391222779/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",1,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'jumio']",t,47.626200373817085,-122.36660192617585,Apartment,Private room,2,1.0,1,1,Real Bed,"{Internet,Wireless Internet,Pets Allowed,Breakfast,Pets live on this property,Cat(s),Heating,Washer,Dryer,Smoke Detector,Carbon Monoxide Detector,First Aid Kit,Essentials,Shampoo}",$66.00,1,1,84,2014-06-30,2016-01-02,95,10,9,10,10,10,9,moderate,4.55,25eb3cfe-e566-11e8-a857-f21898466bab.jpg
16,4933447,https://a1.muscache.com/ac/pictures/65170901/61415688_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,25417834,2014-12-31,within an hour,100%,100%,t,"https://a1.muscache.com/ac/users/25417834/profile_pic/1420171865/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",1,"['email', 'phone', 'reviews', 'kba']",t,47.64064587578452,-122.37240588895551,House,Private room,2,1.0,1,1,Real Bed,"{Wireless Internet,Free Parking on Premises,Heating,Smoke Detector,Carbon Monoxide Detector,Fire Extinguisher,Essentials,Shampoo}",$99.00,1,2,45,2015-03-16,2015-11-06,98,10,10,10,10,10,10,moderate,4.58,25f6950c-e566-11e8-aebe-f21898466bab.jpg
17,6291829,https://a1.muscache.com/ac/pictures/78564472/f90fb331_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,32713558,2015-05-05,,,,f,"https://a2.muscache.com/ac/users/32713558/profile_pic/1431477705/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",1,"['email', 'phone', 'linkedin', 'reviews', 'kba']",t,47.63602477658138,-122.35869359564735,House,Entire home/apt,10,3.5,5,5,Real Bed,"{TV,Cable TV,Wireless Internet,Kitchen,Free Parking on Premises,Pets Allowed,Pets live on this property,Dog(s),Cat(s),Indoor Fireplace,Heating,Family/Kid Friendly,Washer,Dryer,Smoke Detector,Carbon Monoxide Detector,First Aid Kit,Fire Extinguisher,Shampoo}",$700.00,1,3,5,2015-07-07,2015-08-10,85,10,9,9,9,8,8,flexible,0.82,2600a768-e566-11e8-b809-f21898466bab.jpg
18,9218403,https://a2.muscache.com/ac/pictures/6374cb3b-aa55-48f4-b1c9-8da9d6654841.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,14100483,2014-04-09,within a few hours,100%,100%,f,"https://a0.muscache.com/ac/users/14100483/profile_pic/1397369373/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",1,"['email', 'phone', 'reviews', 'kba']",t,47.62794033813239,-122.36495872243864,Condominium,Entire home/apt,1,1.0,1,1,Real Bed,"{Internet,Wireless Internet,Kitchen,Free Parking on Premises,Pets Allowed,Elevator in Building,Heating,Smoke Detector,Carbon Monoxide Detector,Essentials,Shampoo}",$110.00,1,1,1,2016-01-03,2016-01-03,100,10,10,10,10,10,10,flexible,1.0,2609eee2-e566-11e8-9cdd-f21898466bab.jpg
19,4125779,https://a1.muscache.com/ac/pictures/52657137/de03da3e_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,21401856,2014-09-16,within an hour,100%,100%,f,"https://a1.muscache.com/ac/users/21401856/profile_pic/1432007994/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",1,"['email', 'phone', 'facebook', 'reviews']",f,47.63637426223885,-122.36103343324051,House,Private room,3,1.5,1,2,Real Bed,"{Cable TV,Internet,Wireless Internet,Free Parking on Premises,Pets live on this property,Heating,Family/Kid Friendly,Dryer,Smoke Detector,First Aid Kit,Essentials,Shampoo}",$99.00,1,1,11,2014-09-27,2015-10-18,84,9,9,9,9,10,8,moderate,0.71,2612b0cc-e566-11e8-8350-f21898466bab.jpg
